Class,Common name,Metabolic rate (W),Body mass (g),Maximum longevity (yrs)
Amphibia,American toad,0.00829,21.6,36.0
Amphibia,Southern toad,0.00698,19.2,10.0
Amphibia,Cane toad,0.0303,105.0,24.8
Amphibia,Gray treefrog,0.00433,6.97,7.8
Amphibia,African clawed frog,0.012,63.6,30.3
Amphibia,American bullfrog,0.0134,51.2,16.0
Amphibia,Northern leopard frog,0.00576,21.6,9.0
Amphibia,Wood frog,0.00416,7.8,5.0
Amphibia,Spotted salamander,0.005,12.8,32.0
Amphibia,Tiger salamander,0.00196,3.21,25.0
Amphibia,Two-toed amphiuma,0.00904,199.0,27.0
Amphibia,Hellbender,0.0253,358.0,29.0
Amphibia,Black-bellied salamander,0.00411,14.1,15.0
Amphibia,Eastern red-backed salamander,9.9e-05,0.76,25.0
Amphibia,Northern slimy salamander,0.00191,4.2,20.1
Amphibia,European fire salamander,0.00857,19.1,24.0
Aves,Eurasian sparrowhawk,0.9516,135.0,20.2
Aves,Golden eagle,4.9929,3000.0,48.0
Aves,Red-shouldered hawk,2.11,658.0,22.4
Aves,Black-chested buzzard-eagle,5.1887,2860.0,42.0
Aves,"European honey buzzard, or Western honey-buzzard",2.36428,652.0,29.0
Aves,Wood duck,2.247,448.0,22.5
Aves,Northern shoveler,3.9209,554.0,22.6
Aves,Green-winged teal,1.68388,250.0,27.1
Aves,Eurasian wigeon,2.8538,723.0,35.2
Aves,Mallard,4.068,1020.0,29.1
Aves,American black duck,3.6076,904.0,26.6
Aves,Common swift,0.4372,44.9,21.1
Aves,Ruby-throated hummingbird,0.07832,3.2,9.1
Aves,Anna's hummingbird,0.1175,4.8,8.5
Aves,Rufous hummingbird,0.06853,3.8,8.9
Aves,Calliope hummingbird,0.06853,3.0,7.0
Aves,Brown kiwi,4.029,2380.0,35.0
Aves,Common nighthawk,0.4421,72.0,10.0
Aves,Common murre,6.8224,956.0,42.8
Aves,Thick-billed murre,6.8224,989.0,29.0
Aves,Little ringed plover,0.416,36.0,13.0
Aves,Eurasian oystercatcher,2.91,449.0,43.3
